OrderID,Product,Category,Quantity,Price,OrderDate,CustomerID,Region
1,Laptop,Electronics,1,1200.00,2023-01-15,CUST-001,North America
2,Mouse,Electronics,2,25.50,2023-01-16,CUST-002,Europe
3,Keyboard,Electronics,2,75.00,2023-01-17,CUST-003,Asia
4,Monitor,Electronics,1,300.00,2023-01-18,CUST-004,North America
5,Webcam,Electronics,3,50.00,2023-01-19,CUST-005,Europe
6,Desk Chair,Furniture,1,150.00,2023-01-20,CUST-006,Asia
7,Notebook,Office Supplies,10,5.00,2023-01-21,CUST-007,North America
8,Pen Set,Office Supplies,5,10.00,2023-01-22,CUST-008,Europe
9,Coffee Maker,Appliances,1,80.00,2023-01-23,CUST-009,Asia
10,Smartphone,Electronics,1,800.00,2023-01-24,CUST-010,North America
11,T-Shirt,Apparel,5,20.00,2023-01-25,CUST-011,Europe
12,Jeans,Apparel,2,60.00,2023-01-26,CUST-012,Asia
13,Sneakers,Apparel,1,90.00,2023-01-27,CUST-013,North America
14,Backpack,Accessories,1,40.00,2023-01-28,CUST-014,Europe
15,Water Bottle,Accessories,3,15.00,2023-01-29,CUST-015,Asia
16,Headphones,Electronics,1,120.00,2023-01-30,CUST-016,North America
17,Blender,Appliances,1,50.00,2023-01-31,CUST-017,Europe
18,Book,Books,4,18.00,2023-02-01,CUST-018,Asia
19,Lego Set,Toys,1,100.00,2023-02-02,CUST-019,North America
20,Action Figure,Toys,2,25.00,2023-02-03,CUST-020,Europe
21,Laptop,Electronics,1,1300.00,2023-02-04,CUST-021,Asia
22,Mouse,Electronics,1,22.00,2023-02-05,CUST-022,North America
23,Keyboard,Electronics,3,80.00,2023-02-06,CUST-023,Europe
24,Monitor,Electronics,2,350.00,2023-02-07,CUST-024,Asia
25,Webcam,Electronics,1,45.00,2023-02-08,CUST-025,North America
26,Desk Chair,Furniture,2,160.00,2023-02-09,CUST-026,Europe
27,Notebook,Office Supplies,20,4.50,2023-02-10,CUST-027,Asia
28,Pen Set,Office Supplies,10,9.00,2023-02-11,CUST-028,North America
29,Coffee Maker,Appliances,1,85.00,2023-02-12,CUST-029,Europe
30,Smartphone,Electronics,2,850.00,2023-02-13,CUST-030,Asia
31,T-Shirt,Apparel,10,18.00,2023-02-14,CUST-031,North America
32,Jeans,Apparel,1,55.00,2023-02-15,CUST-032,Europe
33,Sneakers,Apparel,2,95.00,2023-02-16,CUST-033,Asia
34,Backpack,Accessories,1,42.00,2023-02-17,CUST-034,North America
35,Water Bottle,Accessories,5,14.00,2023-02-18,CUST-035,Europe
36,Headphones,Electronics,2,125.00,2023-02-19,CUST-036,Asia
37,Blender,Appliances,1,55.00,2023-02-20,CUST-037,North America
38,Book,Books,3,20.00,2023-02-21,CUST-038,Europe
39,Lego Set,Toys,1,110.00,2023-02-22,CUST-039,Asia
40,Action Figure,Toys,3,28.00,2023-02-23,CUST-040,North America
41,Laptop,Electronics,1,1100.00,2023-02-24,CUST-041,Europe
42,Mouse,Electronics,4,30.00,2023-02-25,CUST-042,Asia
43,Keyboard,Electronics,1,70.00,2023-02-26,CUST-043,North America
44,Monitor,Electronics,1,280.00,2023-02-27,CUST-044,Europe
45,Webcam,Electronics,2,55.00,2023-02-28,CUST-045,Asia
46,Desk Chair,Furniture,1,140.00,2023-03-01,CUST-046,North America
47,Notebook,Office Supplies,15,5.50,2023-03-02,CUST-047,Europe
48,Pen Set,Office Supplies,8,11.00,2023-03-03,CUST-048,Asia
49,Coffee Maker,Appliances,1,78.00,2023-03-04,CUST-049,North America
50,Smartphone,Electronics,1,750.00,2023-03-05,CUST-050,Europe
51,T-Shirt,Apparel,8,22.00,2023-03-06,CUST-051,Asia
52,Jeans,Apparel,3,65.00,2023-03-07,CUST-052,North America
